"probe_id","symbol","log2FC","CI.L","CI.R","pvalue","adj_pval","dataset"
"1007_s_at","DDR1 /// MIR4640",-0.394946206458332,-0.969127607626024,0.17923519470936,0.162964839838196,0.254941554569909,"GSE25628"
"1053_at","RFC2",0.202935327541667,-0.370116335750299,0.775986990833632,0.461465399895275,0.561905696281336,"GSE25628"
"117_at","HSPA6",0.666463099125001,0.0297654950769622,1.30316070317304,0.0413849628132911,0.0919542007372517,"GSE25628"
"121_at","PAX8",-0.825238801958333,-1.6438381100182,-0.00663949389846996,0.0483950031729837,0.103473988452304,"GSE25628"
"1255_g_at","GUCA1A",0.338672446583334,0.00871911009886139,0.668625783067806,0.0449449900050059,0.0978633117331167,"GSE25628"
"1294_at","MIR5193 /// UBA7",0.934742215291667,0.300600224872989,1.56888420571035,0.00678302265997486,0.0249395539372629,"GSE25628"
"1316_at","THRA",0.595090218833333,0.0427694565771919,1.14741098108947,0.0365061374166266,0.0839524334912967,"GSE25628"
"1320_at","PTPN21",0.425166107416667,0.138125201654989,0.712207013178345,0.00657547311713031,0.0243851863875998,"GSE25628"
"1405_i_at","CCL5",0.587364157791668,-0.388854181721091,1.56358249730443,0.218740546643762,0.317720750967144,"GSE25628"
"1431_at","CYP2E1",-0.0376394617916662,-0.352416223189307,0.277137299605975,0.80199365821029,0.852548803395239,"GSE25628"
"1438_at","EPHB3",0.574973381458334,0.149866498910547,1.00008026400612,0.0114558647374992,0.0362596301813913,"GSE25628"
"1487_at","ESRRA",0.368571693125001,0.0315861947120684,0.705557191537934,0.0341402052270268,0.0798945981797586,"GSE25628"
"1494_f_at","CYP2A6",0.322544427708334,-0.0676846303609961,0.712773485777663,0.098332750130147,0.175300790224815,"GSE25628"
"1598_g_at","GAS6",1.49408643775,0.866382671426185,2.12179020407382,0.000144132420773912,0.002283668518905,"GSE25628"
"160020_at","MMP14",0.0896299941250007,-0.576121801423183,0.755381789673185,0.777746704403762,0.833615441397354,"GSE25628"
"1729_at","TRADD",0.218762502083334,-0.233465612145788,0.670990616312456,0.318306742462309,0.422556421061489,"GSE25628"
"1773_at","CHURC1-FNTB /// FNTB",0.200647262083333,-0.137961695254122,0.539256219420788,0.225437567328731,0.325363387170729,"GSE25628"
"177_at","PLD1",0.536546361958333,0.0504059917010793,1.02268673221559,0.032766853331232,0.0775961721760236,"GSE25628"
"179_at","DTX2P1-UPK3BP1-PMS2P11",0.231397447791667,-0.184031886366557,0.646826781949892,0.253130102246687,0.35514417985574,"GSE25628"
"1861_at","BAD",1.04476698191667,0.48580157520249,1.60373238863084,0.00122667250742837,0.00800427166021731,"GSE25628"
"200000_s_at","PRPF8",0.697548262750002,0.348537261163016,1.04655926433699,0.000705146427959909,0.00565462454127534,"GSE25628"
"200001_at","CAPNS1",0.757687931583335,0.298067785490999,1.21730807767567,0.00318232995543043,0.014838330386335,"GSE25628"
"200002_at","RPL35",0.152507663750002,-0.0769794619487814,0.381994789448786,0.176734193775886,0.271150663549959,"GSE25628"
"200003_s_at","MIR6805 /// RPL28",0.121427006666669,-0.120289656669205,0.363143670002542,0.30069124936196,0.404694234052464,"GSE25628"
"200004_at","EIF4G2",-0.397115535833332,-0.828775253372792,0.0345441817061284,0.0686790645550999,0.134359719675827,"GSE25628"
"200005_at","EIF3D",0.465331856250001,0.232783218377031,0.69788049412297,0.000698091310926676,0.00562640381096728,"GSE25628"
"200006_at","PARK7",0.130040423333334,-0.15453226584505,0.414613112511719,0.34494431077298,0.449177862721921,"GSE25628"
"200007_at","SRP14",-0.04391259,-0.360456417146862,0.272631237146862,0.771190639885137,0.828461366533934,"GSE25628"
"200008_s_at","GDI2",-0.429884253708333,-1.15659357072179,0.29682506330512,0.226193109603865,0.326037133784878,"GSE25628"
"200009_at","GDI2",-0.4641311825,-1.02119027686809,0.0929279118680865,0.095903644288668,0.172307886427829,"GSE25628"
"200010_at","RPL11",-0.0612511999999983,-0.294763020063744,0.172260620063747,0.583823632529654,0.671244704112904,"GSE25628"
"200011_s_at","ARF3",1.15990693825,0.646848216113235,1.67296566038676,0.000235049438549684,0.00301501253041602,"GSE25628"
"200012_x_at","RPL21 /// RPL21P28 /// SNORA27 /// SNORD102",-0.103828645416666,-0.35301646649819,0.145359175664858,0.387925085695387,0.491374716212892,"GSE25628"
"200013_at","RPL24",-0.0411105612499984,-0.264087805085361,0.181866682585365,0.699443827891381,0.769837458198434,"GSE25628"
"200014_s_at","HNRNPC",-0.15746071,-0.451101009929644,0.136179589929644,0.270480282892518,0.373233973116739,"GSE25628"
"200015_s_at","SEPT2",-0.659445358541666,-1.23675708073422,-0.0821336363491095,0.0279219525249131,0.0690966413388528,"GSE25628"
"200016_x_at","HNRNPA1 /// HNRNPA1P10",-0.4183129,-0.737698208563802,-0.0989275914361971,0.01376147983288,0.0413564025136411,"GSE25628"
